City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Marsh Harbour,BS,86.36,scattered clouds,26.54,-77.06,Abaco Beach Resort
284,Turukhansk,RU,55.27,light rain,65.82,87.98,"ООО ""Туруханская пушнина"""
285,Dzaoudzi,YT,75.2,clear sky,-12.79,45.27,Le Rocher
287,San Patricio,MX,84.2,broken clouds,19.22,-104.7,Hotel Cabo Blanco
288,Rayong,TH,86.0,overcast clouds,12.83,101.43,Purimas Beach Hotel
289,Sao Filipe,CV,79.79,overcast clouds,14.9,-24.5,Tortuga B&B
290,Honiara,SB,73.4,broken clouds,-9.43,159.95,Heritage Park Hotel
291,Cody,US,71.01,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
292,Wilmington,US,86.0,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
293,Neuquen,AR,60.8,clear sky,-38.95,-68.06,Hotel del Comahue
294,Meulaboh,ID,78.1,overcast clouds,4.14,96.13,Kost Pria
296,Lehola,EE,63.0,light intensity shower rain,59.29,24.33,Pätsuloigu Puhketalu
297,Anau,PF,76.44,clear sky,-16.52,-151.73,InterContinental Bora Bora Resort Thalasso Spa
299,Ende,ID,75.06,scattered clouds,-8.84,121.66,Dwi Putra Hotel - Ende
301,Ha Tinh,VN,81.12,broken clouds,18.33,105.9,Phú Quý
304,Komsomolskiy,UZ,77.0,clear sky,40.43,71.72,Ikathouse
305,Matagami,CA,66.2,clear sky,49.75,-77.63,Hôtel Matagami
306,Kokopo,PG,75.78,moderate rain,-4.35,152.26,Kokopo Beach Bungalow Resort
308,Canhotinho,BR,78.6,scattered clouds,-8.88,-36.19,Fubica - canhotinho PE
309,Puri,IN,78.8,light rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
310,Machiques,VE,86.49,broken clouds,10.06,-72.55,"Mi Casita Club, Machiques"
311,Esperance,AU,50.0,overcast clouds,-33.87,121.9,Hospitality Esperance
312,Kapit,MY,74.1,overcast clouds,2.02,112.93,Hotel Meligai Kapit
313,Maceio,BR,82.4,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
314,Yinchuan,CN,65.79,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
315,Yining,CN,77.36,clear sky,29.04,114.56,Xiushui Hotel
317,Hay River,CA,57.2,broken clouds,60.82,-115.8,Ptarmigan Inn Hotels
319,Poum,NC,72.03,broken clouds,-20.23,164.02,Gîte kajeon
321,Lewistown,US,84.99,few clouds,40.6,-77.57,Quality Inn & Suites
322,Biak,ID,74.37,clear sky,-0.91,122.88,Kost Ariz
324,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
325,Bontang,ID,77.59,clear sky,0.13,117.5,Okra Leaf Guest House Syariah
326,Rocha,UY,63.45,clear sky,-34.48,-54.33,Beleza Pura B&B
327,Tibati,CM,69.13,light rain,6.47,12.63,Tibati Hotel
328,Yulara,AU,62.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
330,Iisalmi,FI,68.0,few clouds,63.56,27.19,Original Sokos Hotel Koljonvirta
332,Hamilton,US,84.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
333,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
334,Santo Antonio De Padua,BR,71.91,broken clouds,-21.54,-42.18,Hotel e Pousada Deolinda
335,Spokane,US,68.0,clear sky,47.62,-117.37,Quality Inn Downtown 4th Avenue
336,Tyukhtet,RU,53.58,overcast clouds,56.54,89.3,
337,Yumen,CN,71.1,clear sky,40.28,97.2,
338,Olafsvik,IS,52.39,scattered clouds,64.89,-23.71,Hotel Olafsvik
339,Prince Rupert,CA,57.2,overcast clouds,54.32,-130.32,Crest Hotel
340,Svobodnyy,RU,61.59,moderate rain,51.4,128.13,Alekseevskij Hotel
341,Colwyn Bay,GB,64.99,light rain,53.29,-3.73,Premier Inn Llandudno (Glan-Conwy) hotel
342,Nansio,TZ,77.0,clear sky,-2.13,33.05,Monarch Beach Hotel
343,Yushu,CN,64.87,overcast clouds,44.8,126.53,Honorable Institute
344,Vagur,FO,50.7,scattered clouds,61.47,-6.81,Vestmanna Hostel
346,Perth,AU,52.0,overcast clouds,-31.93,115.83,Parmelia Hilton Perth
347,Stockbridge,US,82.4,scattered clouds,33.54,-84.23,La Quinta Inn & Suites by Wyndham Atlanta Stockbridge
349,Santa Vitoria Do Palmar,BR,62.6,clear sky,-33.52,-53.37,Hostel Comodoro
351,Cairns,AU,55.4,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
352,Kiunga,PG,72.0,overcast clouds,-6.12,141.29,Airport Lodge Kiunga
353,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
354,Beihai,CN,84.02,clear sky,21.48,109.1,21 Degree Hostel
356,Qaqortoq,GL,55.4,clear sky,60.72,-46.03,Hotel Qaqortoq
357,Kenai,US,57.2,broken clouds,60.55,-151.26,Aspen Extended Stay Suites
358,Algiers,DZ,86.0,few clouds,36.75,3.04,Sofitel Algiers Hamma Garden
359,Portland,US,68.0,few clouds,45.52,-122.68,Portland Marriott City Center
360,Mareeba,AU,55.4,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
361,Yuncheng,CN,71.82,moderate rain,35.02,110.99,晋州快捷酒店
362,Mehamn,NO,66.2,broken clouds,71.04,27.85,Mehamn Arctic Hotel AS
